GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,PackageParserImpl,6,416,1,35,2,81,1,33,0,16
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,ManifestImpl.ManifestHandler,0,126,0,8,0,32,0,9,0,5
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,Constants,7,32,0,0,2,3,1,2,1,2
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,OdfPackageImpl.Builder,8,106,0,0,2,28,1,10,1,10
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,OdfPackageDocumentImpl.Builder,9,65,0,0,3,17,1,7,1,7
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,OdfPackages,7,31,0,2,2,8,1,6,1,5
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,ManifestImpl,24,274,1,35,3,52,5,33,4,16
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,FileEntryImpl,13,257,0,42,2,57,2,33,2,12
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,OdfPackageDocumentImpl,12,62,0,4,3,16,2,10,2,8
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.pkg,OdfPackageImpl,12,521,5,99,1,105,6,70,1,23
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.validation,Validators,7,5,0,0,2,2,1,2,1,2
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.validation,Validator,15,391,3,19,1,58,3,21,0,13
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.validation,ValidationReport,31,196,0,32,4,46,4,29,4,13
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.validation,ValidatingParserImpl,46,694,11,97,5,129,11,64,0,21
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.fmt,Formats,4,552,0,16,1,56,1,18,1,10
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.fmt,FormatSniffer,32,258,1,7,6,35,2,16,1,13
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.fmt,Utils,7,127,0,6,2,24,1,8,1,5
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.fmt,OdfFormats,7,190,0,2,2,21,1,10,1,9
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.fmt,Signatures,49,387,6,12,12,53,8,15,5,9
ODF spreadsheet validator core library./odf-core,org.openpreservation.odf.fmt,Constants,7,97,0,0,2,24,1,4,1,4
